"GEO_ID","NAME","B19013_001E","B19013_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)"
"1400000US24005490703","Census Tract 4907.03, Baltimore County, Maryland","92386","16570"
"1400000US24005490800","Census Tract 4908, Baltimore County, Maryland","87727","16674"
"1400000US24005490900","Census Tract 4909, Baltimore County, Maryland","50217","16521"
"1400000US24005491000","Census Tract 4910, Baltimore County, Maryland","144000","24846"
"1400000US24005491100","Census Tract 4911, Baltimore County, Maryland","88793","13536"
"1400000US24005491201","Census Tract 4912.01, Baltimore County, Maryland","74250","20367"
"1400000US24005491202","Census Tract 4912.02, Baltimore County, Maryland","72083","9694"
"1400000US24005491300","Census Tract 4913, Baltimore County, Maryland","55440","5780"
"1400000US24005491401","Census Tract 4914.01, Baltimore County, Maryland","43456","8397"
"1400000US24005491402","Census Tract 4914.02, Baltimore County, Maryland","40347","13678"
"1400000US24005491500","Census Tract 4915, Baltimore County, Maryland","64538","11819"
"1400000US24005491600","Census Tract 4916, Baltimore County, Maryland","60017","5557"
"1400000US24005491701","Census Tract 4917.01, Baltimore County, Maryland","73828","9162"
"1400000US24005491900","Census Tract 4919, Baltimore County, Maryland","62025","8440"
"1400000US24005492001","Census Tract 4920.01, Baltimore County, Maryland","55375","5804"
"1400000US24005492002","Census Tract 4920.02, Baltimore County, Maryland","74819","5558"
"1400000US24005492101","Census Tract 4921.01, Baltimore County, Maryland","61971","4894"
"1400000US24005492102","Census Tract 4921.02, Baltimore County, Maryland","70441","10089"
"1400000US24005492200","Census Tract 4922, Baltimore County, Maryland","58103","6173"
"1400000US24005492300","Census Tract 4923, Baltimore County, Maryland","70066","14627"
"1400000US24005492401","Census Tract 4924.01, Baltimore County, Maryland","88237","8376"
"1400000US24005492402","Census Tract 4924.02, Baltimore County, Maryland","76063","12394"
"1400000US24005492500","Census Tract 4925, Baltimore County, Maryland","-","**"
"1400000US24005492600","Census Tract 4926, Baltimore County, Maryland","66494","4028"
"1400000US24005980000","Census Tract 9800, Baltimore County, Maryland","-","**"
"1400000US24005980100","Census Tract 9801, Baltimore County, Maryland","-","**"
