GEO_ID,NAME,total,total.under25K,total.under25K.insured,total.under25K.insured.private,total.under25K.insured.public,total.under25K.uninsured,total.25Kto50K,total.25Kto50K.insured,total.25Kto50K.insured.private,total.25Kto50K.insured.public,total.25Kto50K.uninsured,total.50Kto75K,total.50Kto75K.insured,total.50Kto75K.insured.private,total.50Kto75K.insured.public,total.50Kto75K.uninsured,total.75Kto100K,total.75Kto100K.insured,total.75Kto100K.insured.private,total.75Kto100K.insured.public,total.75Kto100K.uninsured,total.100Kplus,total.100Kplus.insured,total.100Kplus.insured.private,total.100Kplus.insured.public,total.100Kplus.uninsured
1400000US24031700103,"Census Tract 7001.03, Montgomery County, Maryland",5239,109,109,76,52,0,314,282,129,241,32,539,539,509,175,0,377,346,273,113,31,3900,3807,3639,495,93
1400000US24031700104,"Census Tract 7001.04, Montgomery County, Maryland",5634,428,388,25,376,40,465,451,356,141,14,1018,989,365,642,29,618,511,485,132,107,3105,2915,2844,326,190
1400000US24031700105,"Census Tract 7001.05, Montgomery County, Maryland",6266,365,327,176,164,38,442,425,217,225,17,827,691,531,249,136,843,825,721,135,18,3789,3664,3392,526,125
1400000US24031700204,"Census Tract 7002.04, Montgomery County, Maryland",1912,132,127,49,115,5,96,96,63,62,0,326,321,281,163,5,428,349,292,112,79,930,930,870,174,0
1400000US24031700205,"Census Tract 7002.05, Montgomery County, Maryland",10406,414,398,104,311,16,353,353,285,94,0,969,841,562,350,128,1004,955,914,198,49,7666,7518,7438,688,148
1400000US24031700206,"Census Tract 7002.06, Montgomery County, Maryland",5547,126,126,112,81,0,165,132,80,78,33,570,553,490,152,17,611,592,555,127,19,4075,3979,3703,590,96
1400000US24031700207,"Census Tract 7002.07, Montgomery County, Maryland",5680,536,488,126,421,48,610,593,398,221,17,651,604,429,218,47,592,584,552,72,8,3291,3187,3043,344,104
1400000US24031700208,"Census Tract 7002.08, Montgomery County, Maryland",2368,98,93,74,56,5,105,79,37,49,26,221,221,179,91,0,248,236,233,20,12,1696,1682,1617,187,14
1400000US24031700304,"Census Tract 7003.04, Montgomery County, Maryland",8499,526,486,199,287,40,688,606,307,367,82,684,684,559,173,0,659,634,565,110,25,5942,5766,5706,411,176
1400000US24031700306,"Census Tract 7003.06, Montgomery County, Maryland",7333,176,96,32,64,80,1073,991,824,167,82,631,575,491,84,56,927,851,764,127,76,4526,4401,4311,350,125
1400000US24031700308,"Census Tract 7003.08, Montgomery County, Maryland",6023,223,161,41,161,62,737,679,405,344,58,930,896,588,341,34,913,773,754,19,140,3220,3105,2955,387,115
1400000US24031700309,"Census Tract 7003.09, Montgomery County, Maryland",5774,461,350,198,172,111,1083,1069,581,553,14,1252,1198,1047,192,54,860,860,860,97,0,2118,2087,2000,269,31
1400000US24031700310,"Census Tract 7003.10, Montgomery County, Maryland",6482,668,621,136,512,47,548,517,500,17,31,1716,1455,1221,318,261,911,807,752,55,104,2639,2639,2467,220,0
1400000US24031700311,"Census Tract 7003.11, Montgomery County, Maryland",9975,268,234,106,175,34,679,622,385,301,57,679,679,670,30,0,1124,1048,1048,12,76,7225,6913,6280,916,312
1400000US24031700312,"Census Tract 7003.12, Montgomery County, Maryland",5834,134,88,77,44,46,382,382,130,318,0,494,415,399,77,79,990,944,891,53,46,3834,3673,3560,547,161
1400000US24031700400,"Census Tract 7004, Montgomery County, Maryland",2063,106,97,87,51,9,215,192,152,86,23,153,148,135,53,5,255,231,159,98,24,1334,1287,1229,217,47
1400000US24031700500,"Census Tract 7005, Montgomery County, Maryland",6749,191,176,126,137,15,365,253,152,158,112,547,547,481,153,0,337,337,337,37,0,5309,5228,5017,654,81
1400000US24031700604,"Census Tract 7006.04, Montgomery County, Maryland",6464,0,0,0,0,0,224,224,196,92,0,405,396,372,179,9,270,239,136,146,31,5565,5552,5392,583,13
1400000US24031700606,"Census Tract 7006.06, Montgomery County, Maryland",4194,114,114,83,59,0,174,174,135,58,0,283,283,265,95,0,333,324,317,61,9,3290,3189,3110,307,101
1400000US24031700607,"Census Tract 7006.07, Montgomery County, Maryland",7821,375,375,157,274,0,531,531,284,332,0,584,531,472,59,53,377,335,335,50,42,5954,5811,5656,456,143
1400000US24031700608,"Census Tract 7006.08, Montgomery County, Maryland",6040,197,180,145,35,17,333,310,194,176,23,160,160,153,42,0,272,214,159,87,58,5078,4969,4462,846,109
1400000US24031700610,"Census Tract 7006.10, Montgomery County, Maryland",2229,44,19,19,11,25,85,85,60,44,0,219,143,67,99,76,200,200,169,78,0,1681,1661,1596,318,20
1400000US24031700611,"Census Tract 7006.11, Montgomery County, Maryland",6356,236,215,56,168,21,102,102,42,78,0,249,218,136,90,31,869,861,816,133,8,4900,4772,4512,501,128
1400000US24031700613,"Census Tract 7006.13, Montgomery County, Maryland",6336,384,283,118,226,101,554,505,209,352,49,732,671,498,216,61,447,431,406,66,16,4219,4182,3999,429,37
1400000US24031700614,"Census Tract 7006.14, Montgomery County, Maryland",5303,599,577,334,312,22,648,581,348,345,67,1152,1031,853,273,121,662,643,621,89,19,2242,2085,1924,223,157
1400000US24031700615,"Census Tract 7006.15, Montgomery County, Maryland",2987,42,42,31,11,0,78,73,61,26,5,260,255,176,113,5,124,124,124,14,0,2483,2464,2327,311,19
1400000US24031700616,"Census Tract 7006.16, Montgomery County, Maryland",4753,32,32,0,32,0,231,207,164,80,24,458,451,389,222,7,247,247,217,85,0,3785,3736,3668,470,49
1400000US24031700704,"Census Tract 7007.04, Montgomery County, Maryland",3236,262,212,60,169,50,593,361,269,130,232,429,300,230,100,129,379,303,226,144,76,1573,1478,1135,468,95
1400000US24031700706,"Census Tract 7007.06, Montgomery County, Maryland",4450,392,361,130,269,31,760,688,412,294,72,754,686,501,202,68,563,488,452,67,75,1981,1935,1874,164,46
1400000US24031700710,"Census Tract 7007.10, Montgomery County, Maryland",6455,206,206,92,206,0,848,487,182,423,361,1174,679,453,285,495,877,766,548,345,111,3350,3242,3009,668,108
1400000US24031700711,"Census Tract 7007.11, Montgomery County, Maryland",6038,275,248,152,130,27,649,564,416,193,85,726,699,444,345,27,961,860,709,238,101,3427,3308,3144,525,119
1400000US24031700713,"Census Tract 7007.13, Montgomery County, Maryland",5862,858,614,182,464,244,1735,1169,506,705,566,1530,1167,801,430,363,542,469,258,256,73,1197,1100,1055,135,97
1400000US24031700715,"Census Tract 7007.15, Montgomery County, Maryland",6399,236,220,29,212,16,728,674,345,398,54,829,829,652,325,0,1115,1002,836,166,113,3491,3181,2920,567,310
1400000US24031700716,"Census Tract 7007.16, Montgomery County, Maryland",8878,1029,845,205,684,184,1234,1005,489,559,229,785,654,616,95,131,1077,1077,973,332,0,4753,4561,4322,527,192
