GEO_ID,NAME,MHHI
1400000US24005408304,"Census Tract 4083.04, Baltimore County, Maryland",89417
1400000US24005408400,"Census Tract 4084, Baltimore County, Maryland",63971
1400000US24005408502,"Census Tract 4085.02, Baltimore County, Maryland",91335
1400000US24005408503,"Census Tract 4085.03, Baltimore County, Maryland",59853
1400000US24005408505,"Census Tract 4085.05, Baltimore County, Maryland",84269
1400000US24005408506,"Census Tract 4085.06, Baltimore County, Maryland",46997
1400000US24005408507,"Census Tract 4085.07, Baltimore County, Maryland",58682
1400000US24005408601,"Census Tract 4086.01, Baltimore County, Maryland",102902
1400000US24005408602,"Census Tract 4086.02, Baltimore County, Maryland",98462
1400000US24005408702,"Census Tract 4087.02, Baltimore County, Maryland",98333
1400000US24005408703,"Census Tract 4087.03, Baltimore County, Maryland",94922
1400000US24005408704,"Census Tract 4087.04, Baltimore County, Maryland",111607
1400000US24005408800,"Census Tract 4088, Baltimore County, Maryland",89556
1400000US24005408900,"Census Tract 4089, Baltimore County, Maryland",102772
1400000US24005410100,"Census Tract 4101, Baltimore County, Maryland",116735
1400000US24005410200,"Census Tract 4102, Baltimore County, Maryland",144514
1400000US24005411101,"Census Tract 4111.01, Baltimore County, Maryland",97813
1400000US24005411102,"Census Tract 4111.02, Baltimore County, Maryland",103311
1400000US24005411201,"Census Tract 4112.01, Baltimore County, Maryland",118676
1400000US24005411202,"Census Tract 4112.02, Baltimore County, Maryland",123229
1400000US24005411302,"Census Tract 4113.02, Baltimore County, Maryland",98750
1400000US24005411303,"Census Tract 4113.03, Baltimore County, Maryland",70173
1400000US24005411306,"Census Tract 4113.06, Baltimore County, Maryland",86179
1400000US24005411307,"Census Tract 4113.07, Baltimore County, Maryland",78565
1400000US24005411308,"Census Tract 4113.08, Baltimore County, Maryland",89917
1400000US24005411309,"Census Tract 4113.09, Baltimore County, Maryland",107718
1400000US24005411404,"Census Tract 4114.04, Baltimore County, Maryland",87250
1400000US24005411406,"Census Tract 4114.06, Baltimore County, Maryland",85065
1400000US24005411407,"Census Tract 4114.07, Baltimore County, Maryland",57608
1400000US24005411408,"Census Tract 4114.08, Baltimore County, Maryland",65135
1400000US24005411409,"Census Tract 4114.09, Baltimore County, Maryland",101821
1400000US24005411410,"Census Tract 4114.10, Baltimore County, Maryland",91750
1400000US24005420100,"Census Tract 4201, Baltimore County, Maryland",53781
1400000US24005420200,"Census Tract 4202, Baltimore County, Maryland",57143
1400000US24005420301,"Census Tract 4203.01, Baltimore County, Maryland",52314
1400000US24005420302,"Census Tract 4203.02, Baltimore County, Maryland",57389
1400000US24005420303,"Census Tract 4203.03, Baltimore County, Maryland",61250
1400000US24005420401,"Census Tract 4204.01, Baltimore County, Maryland",54581
1400000US24005420402,"Census Tract 4204.02, Baltimore County, Maryland",58679
1400000US24005420500,"Census Tract 4205, Baltimore County, Maryland",51616
1400000US24005420600,"Census Tract 4206, Baltimore County, Maryland",52883
1400000US24005420701,"Census Tract 4207.01, Baltimore County, Maryland",47934
1400000US24005420702,"Census Tract 4207.02, Baltimore County, Maryland",36574
1400000US24005420800,"Census Tract 4208, Baltimore County, Maryland",63017
1400000US24005420900,"Census Tract 4209, Baltimore County, Maryland",37688
1400000US24005421000,"Census Tract 4210, Baltimore County, Maryland",26402
1400000US24005421101,"Census Tract 4211.01, Baltimore County, Maryland",45373
1400000US24005421102,"Census Tract 4211.02, Baltimore County, Maryland",53772
1400000US24005421200,"Census Tract 4212, Baltimore County, Maryland",51563
1400000US24005421300,"Census Tract 4213, Baltimore County, Maryland",40391
1400000US24005430101,"Census Tract 4301.01, Baltimore County, Maryland",45952
1400000US24005430104,"Census Tract 4301.04, Baltimore County, Maryland",79833
