GEOID,insured,uninsured,total
1400000US24025303605,5884,296,6180
1400000US24025303606,3140,65,3205
1400000US24025303700,3645,181,3826
1400000US24025303801,2486,51,2537
1400000US24025303802,1553,122,1675
1400000US24025303803,4817,113,4930
1400000US24025303900,2290,30,2320
1400000US24025304101,4104,148,4252
1400000US24025304102,3842,127,3969
1400000US24025304201,6300,198,6498
1400000US24025304202,6715,220,6935
1400000US24025305100,7293,252,7545
1400000US24025305200,2481,132,2613
1400000US24025305300,1970,211,2181
1400000US24025306100,3705,176,3881
1400000US24025306200,2019,157,2176
1400000US24025306300,2526,49,2575
1400000US24025306400,5951,111,6062
1400000US24025306500,1999,12,2011
1400000US24027601103,6013,413,6426
1400000US24027601104,6499,58,6557
1400000US24027601105,4610,91,4701
1400000US24027601107,4607,599,5206
1400000US24027601108,3707,73,3780
1400000US24027601201,8030,158,8188
1400000US24027601203,4903,173,5076
1400000US24027601204,5038,709,5747
1400000US24027602100,7404,258,7662
1400000US24027602201,3292,173,3465
1400000US24027602202,5157,274,5431
1400000US24027602302,7346,462,7808
1400000US24027602303,3843,38,3881
1400000US24027602304,4830,234,5064
1400000US24027602305,3765,92,3857
1400000US24027602306,5376,153,5529
1400000US24027602600,7211,693,7904
1400000US24027602700,5275,137,5412
1400000US24027602800,5976,82,6058
1400000US24027602900,4743,348,5091
1400000US24027603001,5843,237,6080
1400000US24027603003,3840,72,3912
1400000US24027603004,6625,58,6683
1400000US24027604001,5805,100,5905
1400000US24027604002,7965,141,8106
1400000US24027605102,10646,246,10892
1400000US24027605103,4957,137,5094
1400000US24027605104,5329,125,5454
1400000US24027605401,4823,129,4952
1400000US24027605402,6460,533,6993
1400000US24027605502,5045,137,5182
1400000US24027605503,5818,632,6450
1400000US24027605504,2532,88,2620
1400000US24027605505,6057,213,6270
1400000US24027605601,6465,139,6604
1400000US24027605602,7648,543,8191
1400000US24027606601,2975,22,2997
1400000US24027606603,7071,348,7419
1400000US24027606604,4533,132,4665
1400000US24027606606,4765,289,5054
1400000US24027606607,4590,439,5029
1400000US24027606701,2596,239,2835
1400000US24027606704,6470,289,6759
1400000US24027606705,1893,59,1952
1400000US24027606706,4777,90,4867
1400000US24027606707,3611,131,3742
1400000US24027606803,5631,289,5920
1400000US24027606804,3472,26,3498
1400000US24027606805,4095,185,4280
1400000US24027606806,7255,357,7612
1400000US24027606901,5512,469,5981
1400000US24027606904,4377,390,4767
1400000US24027606905,6389,441,6830
1400000US24027606906,5621,798,6419
1400000US24027606907,5406,1018,6424
1400000US24029950100,3386,391,3777
1400000US24029950200,4390,320,4710
1400000US24029950300,5013,251,5264
1400000US24029950400,3011,72,3083
1400000US24029950500,2294,188,2482
1400000US24029990000,0,0,0
1400000US24031700101,4204,174,4378
1400000US24031700103,5104,163,5267
1400000US24031700104,5254,380,5634
1400000US24031700105,5932,334,6266
1400000US24031700204,1832,89,1921
1400000US24031700205,10070,341,10411
1400000US24031700206,5382,165,5547
1400000US24031700207,5464,224,5688
1400000US24031700208,2311,57,2368
1400000US24031700304,8176,323,8499
1400000US24031700306,6914,419,7333
1400000US24031700308,5614,409,6023
1400000US24031700309,5569,213,5782
1400000US24031700310,6039,443,6482
1400000US24031700311,9503,479,9982
1400000US24031700312,5505,332,5837
1400000US24031700400,1955,108,2063
1400000US24031700500,6547,209,6756
1400000US24031700604,6411,53,6464
1400000US24031700606,4097,115,4212
1400000US24031700607,7583,238,7821
1400000US24031700608,5833,207,6040
1400000US24031700610,2108,121,2229
1400000US24031700611,6168,188,6356
1400000US24031700613,6078,264,6342
1400000US24031700614,4917,386,5303
1400000US24031700615,2958,29,2987
1400000US24031700616,4673,80,4753
1400000US24031700704,2695,582,3277
1400000US24031700706,4165,293,4458
1400000US24031700710,5397,1075,6472
1400000US24031700711,5679,359,6038
1400000US24031700713,4530,1343,5873
1400000US24031700715,5919,493,6412
1400000US24031700716,8142,736,8878
1400000US24031700717,5908,1566,7474
1400000US24031700718,5122,194,5316
1400000US24031700719,7653,2046,9699
1400000US24031700720,3228,518,3746
1400000US24031700721,2464,811,3275
1400000US24031700722,4186,539,4725
1400000US24031700723,3113,282,3395
1400000US24031700724,2386,1249,3635
1400000US24031700810,5063,323,5386
1400000US24031700811,3910,424,4334
1400000US24031700812,3540,573,4113
1400000US24031700813,5448,461,5909
1400000US24031700815,6629,824,7453
1400000US24031700816,7968,985,8953
1400000US24031700817,5686,506,6192
1400000US24031700818,5611,1126,6737
1400000US24031700819,6547,541,7088
1400000US24031700820,2275,490,2765
1400000US24031700822,1488,358,1846
1400000US24031700823,3307,126,3433
1400000US24031700824,2731,135,2866
1400000US24031700826,5525,30,5555
1400000US24031700828,2209,12,2221
1400000US24031700829,3118,92,3210
1400000US24031700830,2769,409,3178
1400000US24031700832,2847,475,3322
1400000US24031700833,3403,599,4002
1400000US24031700834,4713,564,5277
1400000US24031700835,4639,181,4820
1400000US24031700901,4077,404,4481
1400000US24031700902,3588,499,4087
1400000US24031700903,2008,275,2283
1400000US24031700904,2562,459,3021
1400000US24031700905,4092,67,4159
1400000US24031701001,5494,358,5852
1400000US24031701002,3469,60,3529
1400000US24031701004,5293,291,5584
1400000US24031701005,3436,141,3577
1400000US24031701006,5088,102,5190
1400000US24031701007,3072,125,3197
1400000US24031701101,3908,946,4854
1400000US24031701102,4704,1817,6521
1400000US24031701201,5185,779,5964
1400000US24031701202,2775,22,2797
1400000US24031701205,6518,213,6731
1400000US24031701206,6230,187,6417
1400000US24031701210,3828,121,3949
1400000US24031701211,6081,363,6444
1400000US24031701212,2830,89,2919
1400000US24031701213,6750,310,7060
1400000US24031701214,3575,150,3725
1400000US24031701215,4710,84,4794
1400000US24031701216,4454,237,4691
1400000US24031701218,2553,103,2656
1400000US24031701219,3742,543,4285
