GEOID,insured,uninsured,total
1400000US24005411308,3213,92,3305
1400000US24005411309,8253,379,8632
1400000US24005411404,3698,259,3957
1400000US24005411406,4167,170,4337
1400000US24005411407,8332,720,9052
1400000US24005411408,3083,238,3321
1400000US24005411409,4971,215,5186
1400000US24005411410,4275,355,4630
1400000US24005420100,3114,428,3542
1400000US24005420200,2264,142,2406
1400000US24005420301,2546,197,2743
1400000US24005420302,2539,253,2792
1400000US24005420303,1236,99,1335
1400000US24005420401,5818,723,6541
1400000US24005420402,1977,137,2114
1400000US24005420500,2750,503,3253
1400000US24005420600,3272,659,3931
1400000US24005420701,2554,620,3174
1400000US24005420702,1780,207,1987
1400000US24005420800,3017,339,3356
1400000US24005420900,2749,560,3309
1400000US24005421000,1640,247,1887
1400000US24005421101,2428,432,2860
1400000US24005421102,1887,377,2264
1400000US24005421200,1620,153,1773
1400000US24005421300,2671,201,2872
1400000US24005430101,3173,1257,4430
1400000US24005430104,2481,190,2671
1400000US24005430200,2550,360,2910
1400000US24005430300,5209,1200,6409
1400000US24005430400,3796,506,4302
1400000US24005430600,2259,137,2396
1400000US24005430700,4460,293,4753
1400000US24005430800,3320,287,3607
1400000US24005430900,3808,884,4692
1400000US24005440100,4339,344,4683
1400000US24005440200,2180,334,2514
1400000US24005440300,1725,374,2099
1400000US24005440400,5391,375,5766
1400000US24005440500,2685,344,3029
1400000US24005440600,2091,117,2208
1400000US24005440701,5573,993,6566
1400000US24005440702,4845,310,5155
1400000US24005440800,2709,419,3128
1400000US24005440900,3177,424,3601
1400000US24005441000,3148,303,3451
1400000US24005441101,1867,214,2081
1400000US24005441102,4011,568,4579
1400000US24005450100,3575,234,3809
1400000US24005450200,3121,293,3414
1400000US24005450300,2921,342,3263
1400000US24005450400,1936,206,2142
1400000US24005450501,3326,808,4134
1400000US24005450503,4694,1010,5704
1400000US24005450504,4755,1023,5778
1400000US24005450800,3095,612,3707
1400000US24005450900,3624,272,3896
1400000US24005451000,1517,304,1821
1400000US24005451100,2062,334,2396
1400000US24005451200,3438,555,3993
1400000US24005451300,2417,665,3082
1400000US24005451401,3017,381,3398
1400000US24005451402,4484,1522,6006
1400000US24005451500,3603,445,4048
1400000US24005451600,1896,158,2054
1400000US24005451701,2312,319,2631
1400000US24005451702,1930,119,2049
1400000US24005451801,4724,327,5051
1400000US24005451802,3274,178,3452
1400000US24005451803,4132,493,4625
1400000US24005451900,2209,247,2456
1400000US24005452000,2138,226,2364
1400000US24005452100,3123,326,3449
1400000US24005452300,2471,600,3071
1400000US24005452400,3052,315,3367
1400000US24005452500,3476,343,3819
1400000US24005490100,4004,69,4073
1400000US24005490200,2656,93,2749
1400000US24005490301,4306,582,4888
1400000US24005490302,3409,259,3668
1400000US24005490400,1613,12,1625
1400000US24005490500,3733,59,3792
1400000US24005490601,2058,15,2073
1400000US24005490602,2879,242,3121
1400000US24005490603,2232,91,2323
1400000US24005490605,4544,195,4739
1400000US24005490701,1470,8,1478
1400000US24005490703,2500,139,2639
1400000US24005490800,3244,117,3361
1400000US24005490900,3870,661,4531
1400000US24005491000,2165,0,2165
1400000US24005491100,3350,250,3600
1400000US24005491201,1717,184,1901
1400000US24005491202,1673,78,1751
1400000US24005491300,2973,253,3226
1400000US24005491401,4504,715,5219
1400000US24005491402,2515,658,3173
1400000US24005491500,3013,687,3700
1400000US24005491600,2112,454,2566
1400000US24005491701,3559,385,3944
1400000US24005491900,1603,233,1836
1400000US24005492001,1284,166,1450
1400000US24005492002,3239,377,3616
1400000US24005492101,2903,336,3239
1400000US24005492102,2119,138,2257
1400000US24005492200,4343,272,4615
1400000US24005492300,3627,549,4176
1400000US24005492401,3647,347,3994
1400000US24005492402,5615,306,5921
1400000US24005492500,3078,406,3484
1400000US24005492600,2929,347,3276
1400000US24005980000,0,0,0
1400000US24005980100,0,0,0
1400000US24005980200,0,0,0
1400000US24009860101,3047,184,3231
1400000US24009860102,2702,60,2762
1400000US24009860200,5888,373,6261
1400000US24009860300,4003,100,4103
1400000US24009860401,8783,620,9403
1400000US24009860402,3019,143,3162
1400000US24009860501,5379,347,5726
1400000US24009860502,2891,225,3116
1400000US24009860600,7225,182,7407
1400000US24009860701,1993,279,2272
1400000US24009860702,2790,248,3038
1400000US24009860703,3193,356,3549
1400000US24009860801,6120,294,6414
1400000US24009860802,4529,389,4918
1400000US24009860900,5718,642,6360
1400000US24009861001,1188,59,1247
1400000US24009861003,5696,683,6379
1400000US24009861004,7246,711,7957
1400000US24009990100,0,0,0
1400000US24011955000,2381,836,3217
1400000US24011955100,5467,519,5986
1400000US24011955201,3422,348,3770
1400000US24011955202,2239,204,2443
1400000US24011955301,3000,375,3375
1400000US24011955302,2470,356,2826
1400000US24011955400,1854,372,2226
1400000US24011955500,3637,449,4086
1400000US24011955600,3853,674,4527
1400000US24013501001,4304,276,4580
1400000US24013501002,4730,285,5015
1400000US24013502000,3595,318,3913
1400000US24013503000,4927,485,5412
1400000US24013504100,5084,405,5489
1400000US24013504201,5702,342,6044
1400000US24013504202,5566,447,6013
1400000US24013505101,4296,209,4505
1400000US24013505102,5161,163,5324
1400000US24013505203,2754,77,2831
1400000US24013505205,3001,63,3064
1400000US24013505206,3604,94,3698
1400000US24013505207,3713,60,3773
1400000US24013505208,5423,235,5658
1400000US24013506101,4277,178,4455
1400000US24013506102,3484,457,3941
1400000US24013506200,4442,260,4702
1400000US24013507500,4605,301,4906
1400000US24013507601,4059,782,4841
1400000US24013507602,3341,348,3689
1400000US24013507702,3636,274,3910
1400000US24013507703,2821,170,2991
1400000US24013507704,5459,360,5819
1400000US24013507801,4953,587,5540
1400000US24013507802,4206,327,4533
1400000US24013508101,4397,184,4581
1400000US24013508102,3206,117,3323
1400000US24013508200,6498,550,7048
1400000US24013509001,4138,131,4269
1400000US24013509002,2398,306,2704
1400000US24013510000,1034,101,1135
1400000US24013511000,3276,248,3524
1400000US24013512000,1460,179,1639
1400000US24013513001,4335,265,4600
1400000US24013513002,4982,192,5174
1400000US24013514100,3342,259,3601
1400000US24013514201,4879,411,5290
1400000US24013514202,3444,184,3628
1400000US24015030100,4585,731,5316
1400000US24015030200,4639,487,5126
1400000US24015030400,3738,775,4513
1400000US24015030501,3669,286,3955
1400000US24015030503,4570,517,5087
1400000US24015030505,3128,399,3527
1400000US24015030506,7075,929,8004
1400000US24015030601,3692,373,4065
1400000US24015030602,4790,383,5173
1400000US24015030700,4854,442,5296
1400000US24015030903,3650,543,4193
1400000US24015030904,5986,695,6681
1400000US24015030905,2666,186,2852
1400000US24015030906,8223,738,8961
1400000US24015031201,6458,495,6953
1400000US24015031202,4568,522,5090
1400000US24015031301,3354,536,3890
1400000US24015031302,6445,387,6832
1400000US24015031400,3777,391,4168
1400000US24017850101,5312,273,5585
1400000US24017850102,2428,296,2724
1400000US24017850201,609,83,692
1400000US24017850202,4538,293,4831
1400000US24017850300,2088,116,2204
1400000US24017850400,3321,336,3657
1400000US24017850500,2591,180,2771
1400000US24017850600,3864,342,4206
1400000US24017850706,4693,404,5097
1400000US24017850708,4908,173,5081
1400000US24017850709,6360,766,7126
1400000US24017850710,5286,296,5582
1400000US24017850711,4374,421,4795
1400000US24017850712,5390,186,5576
1400000US24017850713,6228,467,6695
1400000US24017850801,4508,316,4824
1400000US24017850802,3366,454,3820
1400000US24017850901,5217,524,5741
1400000US24017850902,4762,817,5579
1400000US24017850904,5317,162,5479
1400000US24017850905,4054,354,4408
1400000US24017850906,4303,390,4693
1400000US24017851001,2561,171,2732
1400000US24017851002,8374,519,8893
1400000US24033800505,2325,324,2649
1400000US24033800507,2631,231,2862
1400000US24033800509,8369,416,8785
1400000US24033800511,4733,222,4955
1400000US24033800513,4972,395,5367
1400000US24033800514,4415,276,4691
1400000US24033800515,3685,307,3992
1400000US24033800516,3276,225,3501
1400000US24033800517,4690,270,4960
1400000US24033800518,2982,171,3153
1400000US24033800519,3668,304,3972
1400000US24033800520,1721,161,1882
1400000US24033800601,1889,141,2030
1400000US24033800604,1277,200,1477
1400000US24033800605,3785,426,4211
1400000US24033800606,4142,576,4718
1400000US24033800607,5717,495,6212
1400000US24033800608,3250,216,3466
1400000US24033800701,4762,203,4965
1400000US24033800704,4703,237,4940
1400000US24033800705,4049,301,4350
1400000US24033800706,3529,259,3788
1400000US24033800707,2522,69,2591
1400000US24033800800,3323,153,3476
1400000US24033800900,1309,151,1460
1400000US24033801003,3627,578,4205
1400000US24033801004,4040,130,4170
1400000US24033801005,3683,362,4045
1400000US24033801006,3716,359,4075
1400000US24033801104,2270,53,2323
1400000US24033801207,4155,214,4369
1400000US24033801208,3420,229,3649
1400000US24033801209,4137,251,4388
1400000US24033801210,3772,630,4402
1400000US24033801211,2862,78,2940
1400000US24033801212,2917,438,3355
1400000US24033801213,3208,375,3583
1400000US24033801214,3445,292,3737
1400000US24033801215,2131,153,2284
1400000US24033801216,2814,424,3238
1400000US24033801217,3207,318,3525
1400000US24033801302,2559,126,2685
1400000US24033801305,5010,490,5500
1400000US24033801307,3454,265,3719
1400000US24033801308,3641,261,3902
1400000US24033801309,3553,292,3845
1400000US24033801310,5677,203,5880
1400000US24033801311,5338,710,6048
1400000US24033801312,3012,379,3391
1400000US24033801313,2828,185,3013
1400000US24033801404,4057,719,4776
1400000US24033801405,3574,1533,5107
1400000US24033801406,2342,356,2698
1400000US24033801407,5655,585,6240
1400000US24033801408,3721,136,3857
1400000US24033801409,2596,316,2912
1400000US24033801410,3232,351,3583
1400000US24033801411,3186,236,3422
1400000US24033801500,1795,354,2149
1400000US24033801600,2164,250,2414
1400000US24033801701,3436,385,3821
1400000US24033801702,3371,497,3868
1400000US24033801704,5232,629,5861
1400000US24033801706,1284,381,1665
1400000US24033801707,4889,1151,6040
1400000US24033801708,2877,889,3766
1400000US24033801801,1860,365,2225
1400000US24033801802,2778,470,3248
1400000US24033801804,1701,330,2031
1400000US24033801805,2038,421,2459
1400000US24033801807,3896,398,4294
1400000US24033801808,3162,550,3712
1400000US24033801901,4575,341,4916
1400000US24033801904,2614,708,3322
1400000US24033801905,4373,691,5064
